season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2014,Tottenham,Manchester City,A,0,1,0,1
2014,Queens Park Rangers,Everton,A,1,2,0,1
2014,Aston Villa,Queens Park Rangers,D,3,3,2,1
2014,Sunderland,Newcastle United,H,1,0,1,0
2014,Chelsea,Sunderland,H,3,1,1,1
2014,Chelsea,Southampton,D,1,1,1,1
2014,Liverpool,Crystal Palace,A,1,3,1,1
2014,Everton,Manchester United,H,3,0,2,0
2014,West Ham,Burnley,H,1,0,1,0
2014,Southampton,Burnley,H,2,0,1,0
2014,Chelsea,Manchester United,H,1,0,1,0
2014,Swansea,Hull,H,3,1,2,0
2014,Crystal Palace,Swansea,H,1,0,0,0
2014,Crystal Palace,Queens Park Rangers,H,3,1,3,0
2014,Manchester United,Arsenal,D,1,1,1,0
2014,Manchester City,Aston Villa,H,3,2,1,0
2014,Arsenal,Swansea,A,0,1,0,0
2014,Stoke,Crystal Palace,A,1,2,1,2
2014,West Bromwich Albion,Queens Park Rangers,A,1,4,0,3
2014,Everton,Tottenham,A,0,1,0,1
2014,Everton,Newcastle United,H,3,0,1,0
2014,Newcastle United,Swansea,A,2,3,1,1
2014,Burnley,Arsenal,A,0,1,0,1
2014,Hull,Manchester United,D,0,0,0,0
2014,Leicester,Hull,D,0,0,0,0
2014,Queens Park Rangers,West Ham,D,0,0,0,0
2014,Liverpool,Newcastle United,H,2,0,1,0
2014,Leicester,Queens Park Rangers,H,5,1,2,0
2014,Southampton,Tottenham,D,2,2,1,1
2014,Manchester City,Southampton,H,2,0,1,0
2014,Arsenal,Everton,H,2,0,1,0
2014,Liverpool,Tottenham,H,3,2,1,1
2014,Leicester,Crystal Palace,A,0,1,0,0
2014,Newcastle United,West Ham,H,2,0,0,0
2014,Burnley,Swansea,A,0,1,0,0
2014,West Bromwich Albion,Swansea,H,2,0,0,0
2014,Manchester City,Hull,D,1,1,0,1
2014,Stoke,Liverpool,H,6,1,5,0
2014,Leicester,Chelsea,A,1,3,1,0
2014,Hull,Newcastle United,A,0,3,0,1
2014,Chelsea,Everton,H,1,0,0,0
2014,Newcastle United,Stoke,D,1,1,0,0
2014,Liverpool,Manchester City,H,2,1,1,1
2014,Liverpool,West Ham,H,2,0,0,0
2014,Stoke,Manchester City,A,1,4,1,1
2014,Queens Park Rangers,Southampton,A,0,1,0,0
